Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
Liberia,"8,090",,295,,"7,783",,12,2,"1,525",56,"139,824","26,356","5,305,117"
Sierra Leone,"7,762",,126,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436"
Chad,"7,698",,194,,"4,874",,"2,630",,442,11,"191,341","10,988","17,413,580"
British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596"
Cook Islands,"7,067",,2,,"7,060",,5,,"402,197",114,"19,690","1,120,596","17,571"
Saint Kitts and Nevis,"6,600",,48,,"6,550",,2,,"122,515",891,"126,941","2,356,388","53,871"
Turks and Caicos,"6,588",,38,,"6,529",,21,4,"165,773",956,"612,335","15,408,143","39,741"
Sao Tome and Principe,"6,575",,80,,"6,494",,1,,"28,878",351,"29,036","127,530","227,679"
St. Barth,"5,486",,6,,N/A,N/A,N/A,,"551,634",603,"78,646","7,908,095","9,945"
Nauru,"5,393",,1,,"5,347",,45,,"494,635",92,"20,509","1,881,042","10,903"
Kiribati,"5,025",,24,,"2,703",,"2,298",3,"40,715",194,,,"123,419"
Anguilla,"3,904",,12,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230"
Macao,"3,540",,121,,"3,408",,11,,"5,303",181,"7,850","11,760","667,490"
Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488","5,759"
Wallis and Futuna,"3,427",,7,,438,,"2,982",,"312,056",637,"20,508","1,867,419","10,982"
Tuvalu,"2,805",,,,,,"2,805",,"232,471",,,,"12,066"
Saint Helena,"2,166",,,,2,,"2,164",,"354,211",,,,"6,115"
Montserrat,"1,403",,8,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965"
Tokelau,5,,,,,,5,,"3,628",,,,"1,378"
China,"503,302",,"5,272",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400"
